also,"[1559.233790090999, 'RB']"
still,"[862.9907514650017, 'RB']"
well,"[700.2793528330013, 'RB']"
realli,"[617.7955350500004, 'RB']"
howev,"[523.8298957559999, 'RB']"
forward,"[502.5968295489994, 'RB']"
ahead,"[487.6129765100001, 'RB']"
alreadi,"[461.1119579809997, 'RB']"
now,"[429.289448759, 'RB']"
much,"[421.6472700160001, 'RB']"
even,"[408.5704129420002, 'RB']"
so,"[373.23830631400006, 'RB']"
earlier,"[359.3600967619998, 'RBR']"
recent,"[321.62478204399974, 'RB']"
signific,"[309.8723130280002, 'RB']"
probabl,"[305.8537606339998, 'RB']"
here,"[281.10672910599993, 'RB']"
almost,"[274.93969519100017, 'RB']"
approxim,"[263.99971721900033, 'RB']"
current,"[260.99374813300005, 'RB']"
pretti,"[257.4872683169997, 'RB']"
actual,"[256.3078729619997, 'RB']"
rather,"[237.07963916199998, 'RB']"
mayb,"[235.94471896699977, 'RB']"
obvious,"[228.3898937999999, 'RB']"
yet,"[225.06113282599992, 'RB']"
near,"[221.16466853599977, 'RB']"
back,"[212.46822892099988, 'RB']"
later,"[195.87077339599992, 'RB']"
far,"[194.356283535, 'RB']"
previous,"[191.37974586799996, 'RB']"
alway,"[179.62405999199999, 'RB']"
alon,"[178.21582061700005, 'RB']"
clear,"[173.250782943, 'RB']"
first,"[172.6832934339999, 'RB']"
newli,"[172.25644698899995, 'RB']"
around,"[161.86464390600003, 'RB']"
sequenti,"[153.95626645500002, 'RB']"
month,"[152.91344434, 'RB']"
quit,"[152.71413891999998, 'RB']"
like,"[146.162691976, 'RB']"
essenti,"[143.047553202, 'RB']"
main,"[142.60312550600003, 'RB']"
faster,"[142.27630872300003, 'RBR']"
primarili,"[140.57084669599985, 'RB']"
certain,"[126.78372723600006, 'RB']"
higher,"[125.41499851400003, 'RBR']"
sometim,"[124.72308075400001, 'RB']"
better,"[116.046018855, 'RBR']"
twice,"[115.01531347700002, 'RB']"
extrem,"[112.31560098699998, 'RB']"
less,"[111.29716331200004, 'RBR']"
high,"[110.26210917400003, 'RB']"
final,"[105.97632332299999, 'RB']"
abroad,"[103.48921109800001, 'RB']"
often,"[101.79634118100003, 'RB']"
notabl,"[100.82356673300002, 'RB']"
close,"[99.30137951600004, 'RB']"
potenti,"[98.71610783199999, 'RB']"
late,"[98.253164434, 'RB']"
eventu,"[97.65505756400002, 'RB']"
fulli,"[96.22706125000002, 'RB']"
relat,"[94.51915493699998, 'RB']"
togeth,"[93.955222074, 'RB']"
especi,"[93.30471953700001, 'RB']"
possibl,"[88.335362353, 'RB']"
specif,"[86.88300547900003, 'RB']"
enough,"[86.08161568800004, 'RB']"
away,"[84.88958283700003, 'RB']"
rough,"[84.052529673, 'RB']"
ever,"[81.510500871, 'RB']"
slight,"[80.98673515600001, 'RB']"
basic,"[76.442319744, 'RB']"
global,"[73.39252675300001, 'RB']"
long,"[72.27624326700001, 'RB']"
quick,"[70.21090720600003, 'RB']"
direct,"[69.06242069500007, 'RB']"
either,"[68.114365418, 'RB']"
effect,"[67.428624712, 'RB']"
up,"[67.400545381, 'RP']"
anywher,"[66.452344019, 'RB']"
usual,"[66.197478747, 'RB']"
aggress,"[64.30420423000001, 'RB']"
addit,"[63.97338083500002, 'RB']"
substanti,"[63.889851320000005, 'RB']"
earli,"[63.060848505, 'RB']"
intern,"[61.88943069400001, 'RB']"
prior,"[61.00617173900001, 'RB']"
moreov,"[60.684251029999956, 'RB']"
materi,"[59.08531385100001, 'RB']"
nice,"[58.87307839399999, 'RB']"
constant,"[58.576329389, 'RB']"
exact,"[58.539889155, 'RB']"
larg,"[58.43147738299999, 'RB']"
littl,"[55.382658818, 'RB']"
upsid,"[54.9270652, 'RB']"
presum,"[51.89246025, 'RB']"
dramat,"[51.281810176, 'RB']"
best,"[48.98385797, 'RBS']"
hope,"[48.54353929, 'RB']"
eager,"[47.945360857999994, 'RB']"
broad,"[46.717633092999996, 'RB']"
origin,"[45.286840681, 'RB']"
negat,"[44.745236182000006, 'RB']"
second,"[44.342624551, 'RB']"
accur,"[43.182064497, 'RB']"
seem,"[43.0167565, 'RB']"
continu,"[42.885860173, 'RB']"
import,"[42.289442527999995, 'RB']"
annual,"[41.58638456599999, 'RB']"
correct,"[40.553245406, 'RB']"
safe,"[40.530974913, 'RB']"
increment,"[39.763233116, 'RB']"
last,"[39.031986354, 'RB']"
perhap,"[38.814842287000005, 'RB']"
oversea,"[38.339465391000005, 'RB']"
financi,"[37.927537023, 'RB']"
uniqu,"[37.53999753, 'RB']"
effici,"[37.326206192, 'RB']"
modest,"[36.951421265, 'RB']"
success,"[36.415909121000006, 'RB']"
doubl,"[36.042226399, 'RB']"
simpli,"[35.643476041000014, 'RB']"
steadili,"[34.900788232, 'RB']"
likewis,"[33.7164751, 'RB']"
genuin,"[33.7164751, 'RB']"
then,"[33.656314981, 'RB']"
thus,"[33.38148739199999, 'RB']"
posit,"[33.056904032000006, 'RB']"
rapid,"[32.908367283000004, 'RB']"
user,"[32.119885658, 'RBR']"
differ,"[31.702039439999997, 'RB']"
general,"[31.56392831799999, 'RB']"
more,"[31.355496381, 'RBR']"
anymor,"[31.187608726000004, 'RB']"
meaning,"[30.286971229, 'RB']"
apart,"[30.064848427999998, 'RB']"
fair,"[29.185086398999996, 'RB']"
insid,"[29.144507808000007, 'RB']"
definit,"[28.293030917000014, 'RB']"
assum,"[27.69670248, 'RB']"
provid,"[27.656366779, 'RB']"
ago,"[27.34808149200014, 'RB']"
log,"[26.993446203, 'RBR']"
wide,"[26.743468150999995, 'RB']"
somewhat,"[26.68639277, 'RB']"
squar,"[26.412068496000003, 'RB']"
name,"[25.827595379999998, 'RB']"
bit,"[25.676705311, 'RB']"
kind,"[25.43264822, 'RB']"
entir,"[25.399763651, 'RB']"
closer,"[25.304832689000005, 'RBR']"
right,"[24.94013147900001, 'RB']"
just,"[24.624002263999998, 'RB']"
histor,"[24.469228582999996, 'RB']"
report,"[24.184753244000007, 'RB']"
margin,"[23.654625949000003, 'RB']"
favor,"[23.652811787999998, 'RB']"
ralli,"[22.623960855, 'RB']"
critic,"[22.461456344, 'RB']"
driven,"[22.411693765000003, 'RB']"
local,"[22.32313034, 'RB']"
never,"[21.696625892000004, 'RB']"
typic,"[21.692403800000005, 'RB']"
underway,"[21.52853142, 'RB']"
vast,"[21.128962941, 'RB']"
brighter,"[21.089664751, 'RB']"
econom,"[21.071963406000002, 'RB']"
organ,"[20.444101283000002, 'RB']"
inde,"[20.313291790999997, 'RB']"
fast,"[19.562619347, 'RB']"
ride,"[19.44864048, 'RB']"
adequ,"[19.44864048, 'RB']"
part,"[19.132205083, 'RB']"
deepli,"[18.898016291999998, 'RB']"
slowli,"[18.513599440999997, 'RB']"
undeni,"[18.41897233, 'RB']"
surgic,"[18.41897233, 'RB']"
transfemor,"[18.41897233, 'RB']"
numer,"[18.41897233, 'RB']"
handsom,"[18.41897233, 'RB']"
season,"[18.085078475, 'RB']"
along,"[18.085050657, 'RP']"
domest,"[18.056768074, 'RB']"
meanwhil,"[18.00110146900001, 'RB']"
iphon,"[17.073557361, 'RB']"
instead,"[17.04857377400001, 'RB']"
otherwis,"[16.610560922000005, 'RB']"
inevit,"[16.606516916, 'RB']"
activ,"[16.554560171, 'RB']"
daili,"[15.866074554999997, 'RB']"
lower,"[15.595154690000001, 'RBR']"
downward,"[15.554813209999999, 'RB']"
technolog,"[15.52551243, 'RB']"
qtrli,"[15.52551243, 'RB']"
fivefold,"[15.50387597, 'RB']"
painstak,"[15.50387597, 'RB']"
onc,"[15.050401912, 'RB']"
routin,"[14.82706419, 'RB']"
sad,"[14.783085256, 'RB']"
yeah,"[14.750402885, 'RB']"
complet,"[14.667200141999995, 'RB']"
intermitt,"[14.573081056, 'RB']"
partial,"[14.492246127000001, 'RB']"
answer,"[14.473159655, 'RB']"
tradit,"[14.396441577, 'RB']"
sole,"[13.84835124, 'RB']"
suicid,"[13.84835124, 'RB']"
sure,"[13.731268799999999, 'RB']"
frank,"[13.54369666, 'RB']"
chronolog,"[13.30150068, 'RB']"
indirect,"[13.298009209000002, 'RB']"
server,"[13.248028179, 'RB']"
altogeth,"[13.241934893, 'RB']"
select,"[12.63832266, 'RB']"
look,"[12.63832266, 'RB']"
wrong,"[12.63832266, 'RB']"
as,"[12.63832266, 'RB']"
instant,"[12.300233187, 'RB']"
common,"[12.240454675999999, 'RB']"
practic,"[12.13114754, 'RB']"
forth,"[12.13114754, 'RB']"
mean,"[12.13114754, 'RB']"
onlin,"[12.061464492, 'RB']"
most,"[12.055887681000007, 'RB']"
profound,"[11.92589932, 'RB']"
unbeliev,"[11.92589932, 'RB']"
consist,"[11.663548346999999, 'RB']"
write,"[11.398277004, 'RB']"
desper,"[11.264479484999995, 'RB']"
systemat,"[11.096266974999999, 'RB']"
precis,"[10.982385424, 'RB']"
perfect,"[10.5156724, 'RB']"
progress,"[10.5156724, 'RB']"
interest,"[10.307405299000001, 'RB']"
nation,"[10.186279093, 'RB']"
therebi,"[9.887999073, 'RB']"
automat,"[9.859428172000001, 'RB']"
deeper,"[9.773371105, 'RBR']"
conser,"[9.773371105, 'RBR']"
quential,"[9.773371105, 'RB']"
dane,"[9.773371105, 'RB']"
vativ,"[9.773371105, 'RB']"
solid,"[9.773371105, 'RB']"
knockout,"[9.518549204, 'RB']"
buyout,"[9.308841843, 'RB']"
famous,"[9.25850749, 'RB']"
start,"[9.160890118000001, 'RB']"
mistaken,"[9.065791412, 'RB']"
abund,"[8.997815401, 'RB']"
casual,"[8.958517211, 'RB']"
insuffici,"[8.958517211, 'RB']"
advers,"[8.958517211, 'RB']"
ph,"[8.958517211, 'RB']"
odd,"[8.888484447, 'RB']"
out,"[8.86214442, 'RP']"
seamless,"[8.86214442, 'RB']"
feel,"[8.86214442, 'RB']"
south,"[8.828193626000001, 'RB']"
quiet,"[8.749251159, 'RB']"
upward,"[8.453381396000001, 'RB']"
easier,"[8.022241651, 'RBR']"
theoret,"[7.880616749, 'RB']"
guess,"[7.762756215, 'RB']"
pre,"[7.762756215, 'RB']"
independ,"[7.731254592000001, 'RB']"
flat,"[7.68018018, 'RB']"
listen,"[7.68018018, 'RB']"
intraday,"[7.68018018, 'RB']"
scientif,"[7.68018018, 'RB']"
drastic,"[7.666327191999999, 'RB']"
boost,"[7.509881423, 'RB']"
hot,"[7.345434543, 'RB']"
reason,"[7.253167466999999, 'RB']"
ideal,"[7.189569725, 'RB']"
fifth,"[7.031081372999999, 'RB']"
honest,"[6.898246540000001, 'RB']"
bell,"[6.850567286, 'RB']"
tonight,"[6.850567286, 'RB']"
sudden,"[6.8144912699999995, 'RB']"
furthermor,"[6.540452411, 'RB']"
comfort,"[6.4034763340000005, 'RB']"
fraction,"[6.395641725, 'RB']"
truli,"[6.38329463, 'RB']"
driver,"[6.285706611, 'RB']"
bubbl,"[5.972797161, 'RB']"
understand,"[5.972797161, 'RB']"
cautious,"[5.972797161, 'RB']"
notori,"[5.871234386999999, 'RB']"
no,"[5.699138502, 'RB']"
decis,"[5.658914729, 'RB']"
tad,"[5.658914729, 'RB']"
inaccur,"[5.658914729, 'RB']"
function,"[5.658914729, 'RB']"
overwhelm,"[5.437352246, 'RB']"
empti,"[5.437352246, 'RB']"
natur,"[5.176725725000001, 'RB']"
yes,"[5.110203589999999, 'RB']"
els,"[5.090306883999997, 'RB']"
expediti,"[5.012197826, 'RB']"
equal,"[4.986420348999999, 'RB']"
wireless,"[4.890178202, 'RB']"
sorri,"[4.849498328, 'RB']"
tougher,"[4.849498328, 'RB']"
use,"[4.849498328, 'RB']"
oper,"[4.849498328, 'RB']"
maniac,"[4.849498328, 'RB']"
regular,"[4.849498328, 'RB']"
insight,"[4.849498328, 'RB']"
region,"[4.849498328, 'RB']"
decemb,"[4.849498328, 'RB']"
appropri,"[4.757159013000001, 'RB']"
move,"[4.707792208, 'RB']"
backward,"[4.707792208, 'RB']"
invari,"[4.6419068249999995, 'RB']"
monstrous,"[4.591537167, 'RB']"
pure,"[4.588871835000001, 'RB']"
notebook,"[4.581625271, 'RB']"
subsequ,"[4.508635548999999, 'RB']"
too,"[4.503816794, 'RB']"
confid,"[4.503816794, 'RB']"
core,"[4.503816794, 'RB']"
strict,"[4.503816794, 'RB']"
proven,"[4.503816794, 'RB']"
measli,"[4.411286227, 'RB']"
explicit,"[4.338532167, 'RB']"
strateg,"[4.31139179, 'RB']"
individu,"[4.31139179, 'RB']"
debit,"[4.31139179, 'RB']"
exponenti,"[4.31139179, 'RB']"
note,"[4.31139179, 'RB']"
kelli,"[4.31139179, 'RB']"
inexor,"[4.31139179, 'RB']"
mode,"[4.31139179, 'RB']"
front,"[4.268018957999999, 'RB']"
past,"[4.242487262, 'RB']"
wonder,"[4.242487262, 'RB']"
moder,"[4.0816142840000005, 'RB']"
anytim,"[4.0627018249999995, 'RB']"
wholli,"[3.982300885, 'RB']"
transsept,"[3.957487255, 'RB']"
light,"[3.957487255, 'RB']"
intellig,"[3.957487255, 'RB']"
somehow,"[3.6577154099999944, 'RB']"
irregular,"[3.457354972, 'RB']"
nonetheless,"[3.237168782, 'RB']"
similar,"[3.229904697000001, 'RB']"
art,"[3.139717425, 'RP']"
pain,"[3.102947281, 'RB']"
relentless,"[3.102947281, 'RB']"
dead,"[3.102947281, 'RB']"
guid,"[3.048780488, 'RB']"
truth,"[3.019813588, 'RB']"
someday,"[2.91649055, 'RB']"
perform,"[2.91649055, 'RB']"
manual,"[2.91649055, 'RB']"
tight,"[2.91649055, 'RB']"
turnaround,"[2.91186825, 'RP']"
cryptic,"[2.768287106, 'RB']"
consider,"[2.6376107170000003, 'RB']"
fierc,"[2.520857936000003, 'RB']"
worth,"[2.506098913, 'RB']"
drone,"[2.445089101, 'RP']"
suppos,"[2.41626565, 'RB']"
unlik,"[2.3730358270000003, 'RB']"
behind,"[2.344042537, 'RP']"
extens,"[2.265122265, 'RB']"
immin,"[2.265122265, 'RB']"
undoubt,"[2.1465685699999995, 'RB']"
non,"[2.144996059, 'RB']"
vertic,"[2.1426702230000005, 'RB']"
attach,"[2.121243631, 'RB']"
smooth,"[2.121243631, 'RB']"
formal,"[1.951949686999999, 'RB']"
digit,"[1.905187314, 'RB']"
search,"[1.905187314, 'RB']"
conserv,"[1.905187314, 'RB']"
egregi,"[1.905187314, 'RB']"
ludicr,"[1.905187314, 'RB']"
surpris,"[1.8132739939999993, 'RB']"
forev,"[1.699232719, 'RB']"
simultan,"[1.5714723469999994, 'RB']"
ordinarili,"[1.55, 'RB']"
inexpens,"[1.55, 'RB']"
notic,"[1.5354944, 'RB']"
wild,"[1.5354944, 'RB']"
somewher,"[1.3425513539999998, 'RB']"
incred,"[1.167724130999996, 'RB']"
secur,"[1.103057044, 'RB']"
joint,"[1.103057044, 'RB']"
statist,"[1.103057044, 'RB']"
vendor,"[1.103057044, 'RB']"
sound,"[0.956585069, 'RB']"
frequent,"[0.7809901559999997, 'RB']"
technic,"[0.7644344439999999, 'RB']"
extraordinarili,"[0.654533341, 'RB']"
total,"[0.551811374000001, 'RB']"
firm,"[0.2583872719999998, 'RB']"
further,"[-0.008218478999999945, 'RB']"
therefor,"[-0.3215307779999974, 'RB']"
great,"[-0.405979373000001, 'RB']"
asid,"[-0.5775087339999994, 'RB']"
straight,"[-0.6619604429999999, 'RB']"
poor,"[-0.8939107440000007, 'RB']"
huge,"[-0.9546678980000003, 'RB']"
frustrat,"[-1.0113298230000005, 'RB']"
programmat,"[-1.192098093, 'RB']"
vigor,"[-1.192098093, 'RB']"
crude,"[-1.192098093, 'RB']"
generous,"[-1.192098093, 'RB']"
piec,"[-1.192098093, 'RB']"
home,"[-1.192098093, 'RB']"
third,"[-1.2136857020000011, 'RB']"
briefli,"[-1.291578202, 'RB']"
overbought,"[-1.426426426, 'RB']"
present,"[-1.5972849519999999, 'RB']"
apiec,"[-1.6673439340000002, 'RB']"
blind,"[-1.758122253, 'RB']"
need,"[-1.758122253, 'RB']"
bold,"[-1.758122253, 'RB']"
fiscal,"[-1.758122253, 'RB']"
quarter,"[-1.792927534999997, 'RB']"
unusu,"[-1.847586368, 'RB']"
unsurpris,"[-1.881918819, 'RB']"
anti,"[-1.881918819, 'RB']"
normal,"[-1.8907381600000006, 'RB']"
gradual,"[-1.9564373570000022, 'RB']"
passiv,"[-2.384196186, 'RB']"
cumul,"[-2.384196186, 'RB']"
year,"[-2.481856474, 'RB']"
neo,"[-2.564102564, 'RB']"
convers,"[-2.564102564, 'RB']"
n,"[-2.564102564, 'RB']"
geograph,"[-2.564102564, 'RB']"
alongsid,"[-2.616160648, 'RB']"
app,"[-2.801522431, 'RB']"
physic,"[-2.801932367, 'RB']"
afterward,"[-2.801932367, 'RB']"
predomin,"[-2.801932367, 'RB']"
worst,"[-2.842123564, 'RB']"
opportunist,"[-2.871827796, 'RB']"
prompt,"[-2.9810744810000007, 'RB']"
nevertheless,"[-2.991568711, 'RB']"
wil,"[-3.171544631, 'RB']"
thin,"[-3.171544631, 'RB']"
inform,"[-3.171544631, 'RB']"
faith,"[-3.171544631, 'RB']"
occasion,"[-3.172896978, 'RB']"
virtual,"[-3.189176252, 'RB']"
noon,"[-3.302953914, 'RB']"
await,"[-3.326102675, 'RB']"
feedback,"[-3.326102675, 'RB']"
necessarili,"[-3.442628502, 'RB']"
mobil,"[-3.572531248, 'RB']"
pleasant,"[-3.572531248, 'RB']"
verili,"[-3.572531248, 'RB']"
former,"[-3.684501515000001, 'RB']"
quicker,"[-3.764907724, 'RB']"
fourfold,"[-3.764907724, 'RB']"
alik,"[-3.764907724, 'RB']"
e,"[-3.764907724, 'RB']"
multipli,"[-4.134366925, 'RBR']"
bother,"[-4.134366925, 'RB']"
slick,"[-4.134366925, 'RB']"
unscientif,"[-4.421326398, 'RB']"
aesthet,"[-4.421326398, 'RB']"
sever,"[-4.421326398, 'RB']"
except,"[-4.421326398, 'RB']"
recurr,"[-4.421326398, 'RB']"
supris,"[-4.421326398, 'RB']"
broadcast,"[-4.663336663, 'RB']"
upright,"[-4.663336663, 'RB']"
transcathet,"[-4.692996185, 'RB']"
absolut,"[-4.728753909999995, 'RB']"
aw,"[-4.916201117, 'RB']"
silli,"[-5.016212092, 'RB']"
unfair,"[-5.387334659, 'RB']"
comput,"[-5.565965583, 'RB']"
person,"[-5.6878868350000005, 'RB']"
improp,"[-5.789978437, 'RB']"
commerci,"[-6.03893524, 'RB']"
keen,"[-6.03893524, 'RB']"
prematur,"[-6.03893524, 'RB']"
overdon,"[-6.03893524, 'RB']"
secondarili,"[-6.080391013, 'RB']"
leeway,"[-6.080391013, 'RB']"
tesla,"[-6.080391013, 'RB']"
bps,"[-6.09152752, 'RB']"
intent,"[-6.636290841999999, 'RB']"
decid,"[-6.984126984, 'RB']"
help,"[-6.984126984, 'RB']"
conveni,"[-6.984126984, 'RB']"
swift,"[-6.984126984, 'RB']"
suppli,"[-6.984126984, 'RB']"
remot,"[-6.984126984, 'RB']"
indefinit,"[-6.984126984, 'RB']"
vs,"[-7.214665878, 'RB']"
fluid,"[-7.214665878, 'RB']"
deep,"[-7.214665878, 'RB']"
laser,"[-7.214665878, 'RB']"
sincer,"[-7.592871028999999, 'RB']"
fundament,"[-7.728018003, 'RB']"
danger,"[-8.035714286, 'RB']"
aboard,"[-8.035714286, 'RB']"
matter,"[-8.035714286, 'RB']"
dilig,"[-8.035714286, 'RB']"
perman,"[-8.035714286, 'RB']"
turnout,"[-8.26873385, 'RP']"
rare,"[-8.352965657999999, 'RB']"
domin,"[-8.842652796, 'RB']"
not,"[-9.009258349000003, 'RB']"
onli,"[-9.224571054999998, 'RB']"
dismal,"[-9.375783404, 'RB']"
unexpect,"[-9.375783404, 'RB']"
inher,"[-9.755702679, 'RB']"
liter,"[-9.937414255999999, 'RB']"
ew,"[-9.939627264, 'RB']"
healthier,"[-10.23842917, 'RBR']"
sooner,"[-10.23842917, 'RBR']"
harder,"[-10.23842917, 'RBR']"
sort,"[-10.23842917, 'RB']"
enterpris,"[-10.23842917, 'RB']"
nowher,"[-10.23842917, 'RB']"
remark,"[-10.23842917, 'RB']"
overal,"[-10.23842917, 'RB']"
offici,"[-11.04455595, 'RB']"
amidst,"[-11.294723172, 'RB']"
mere,"[-11.428762244000001, 'RB']"
due,"[-11.518341129, 'RB']"
forecast,"[-11.535388212, 'RB']"
foremost,"[-12.08226221, 'RB']"
heavili,"[-12.151295177000005, 'RB']"
anyway,"[-12.160782026, 'RB']"
handili,"[-12.169702923000004, 'RB']"
worldwid,"[-12.265121725, 'RB']"
overweight,"[-12.41846747, 'RP']"
profit,"[-12.41846747, 'RB']"
sell,"[-12.41846747, 'RB']"
sixfold,"[-12.90106952, 'RB']"
gratuit,"[-12.90106952, 'RB']"
gentl,"[-12.90106952, 'RB']"
iron,"[-12.90106952, 'RB']"
sky,"[-12.90106952, 'RB']"
bad,"[-13.868719516999999, 'RB']"
slide,"[-14.748603351, 'RB']"
veri,"[-14.777719838, 'RB']"
arguabl,"[-15.847169934, 'RB']"
modem,"[-15.95270996, 'RBR']"
neither,"[-15.95270996, 'RB']"
though,"[-15.95270996, 'RB']"
headlong,"[-16.071428572, 'RB']"
proper,"[-16.212237405, 'RB']"
ugli,"[-16.582108423999998, 'RB']"
easili,"[-16.860833443000004, 'RB']"
friend,"[-17.710832213, 'RB']"
narrowli,"[-17.837724618, 'RB']"
public,"[-18.242219026, 'RB']"
particular,"[-18.589700023000006, 'RB']"
over,"[-19.07129399, 'RB']"
edward,"[-19.17641959, 'RB']"
ultim,"[-19.396859399999997, 'RB']"
qualcomm,"[-19.827444566, 'RB']"
repeat,"[-19.862636348, 'RB']"
polit,"[-20.113761978999996, 'RB']"
separ,"[-20.360027091, 'RB']"
sharpli,"[-20.414830707999997, 'RB']"
competit,"[-20.47685834, 'RB']"
loyal,"[-20.49275497, 'RB']"
compar,"[-20.563777469, 'RB']"
serious,"[-21.062103048, 'RB']"
flawless,"[-21.68582375, 'RB']"
everywher,"[-21.68582375, 'RB']"
spontan,"[-22.003968254, 'RB']"
strong,"[-22.426851488000004, 'RB']"
soon,"[-23.32106256500001, 'RB']"
immedi,"[-23.412325704000008, 'RB']"
bare,"[-26.014245697999996, 'RB']"
exclus,"[-26.163056797, 'RB']"
yong,"[-28.543901679, 'RB']"
privat,"[-28.896784998999998, 'RB']"
voluntarili,"[-28.965765990999998, 'RB']"
illeg,"[-29.422610477, 'RB']"
nanomet,"[-30.71528751, 'RB']"
increas,"[-31.177440420999993, 'RB']"
temporarili,"[-34.479432927999994, 'RB']"
twitter,"[-36.24678663, 'RB']"
appar,"[-39.198897032000005, 'RB']"
longer,"[-39.952506009999986, 'RB']"
initi,"[-40.375260991000005, 'RB']"
down,"[-40.698857001, 'RP']"
alleg,"[-40.728819372000004, 'RB']"
elsewher,"[-41.549221347, 'RB']"
hard,"[-60.242980478999996, 'RB']"
minim,"[-61.16264108499999, 'RB']"
unfortun,"[-71.06647355099999, 'RB']"
respect,"[-84.709071056, 'RB']"
short,"[-92.97250335299998, 'RB']"
