expect,"[1521.0048695479993, 'VBG']"
march,"[4.849498328, 'VBP']"
underway,"[4.849498328, 'VBP']"
larri,"[4.849498328, 'VBP']"
snuck,"[4.849498328, 'VBP']"
bright,"[4.849498328, 'VBN']"
construct,"[4.849498328, 'VBN']"
vest,"[4.849498328, 'VBG']"
corevalv,"[4.849498328, 'VB']"
instat,"[4.849498328, 'VB']"
retrain,"[4.849498328, 'VB']"
twelv,"[4.849498328, 'VB']"
comp,"[4.849498328, 'VB']"
trickl,"[4.849498328, 'VB']"
electrophysiolog,"[4.849498328, 'VB']"
remit,"[4.849498328, 'VB']"
discharg,"[4.849498328, 'VB']"
credit,"[4.845373233999999, 'VBD']"
strain,"[4.763038819, 'VBD']"
shave,"[4.752905583, 'VB']"
outweigh,"[4.739187093999998, 'VBP']"
crude,"[4.725091636, 'VBZ']"
big,"[4.725091636, 'VBP']"
sooth,"[4.725091636, 'VBN']"
camp,"[4.725091636, 'VBG']"
forgiv,"[4.725091636, 'VBG']"
tether,"[4.725091636, 'VBD']"
droop,"[4.725091636, 'VBD']"
trek,"[4.725091636, 'VB']"
land,"[4.725091636, 'VB']"
materialis,"[4.725091636, 'VB']"
expenditur,"[4.711894162999999, 'VBZ']"
insight,"[4.707792208, 'VBN']"
downsw,"[4.707792208, 'VBG']"
broadcast,"[4.688085074, 'VBN']"
enthusiasm,"[4.6064832, 'VBZ']"
vie,"[4.591537167, 'VBZ']"
vacuum,"[4.591537167, 'VBP']"
unresolv,"[4.591537167, 'VBN']"
sleep,"[4.591537167, 'VBG']"
cram,"[4.591537167, 'VBD']"
countersu,"[4.591537167, 'VBD']"
dictat,"[4.587719244999999, 'VBZ']"
juic,"[4.5842748879999995, 'VB']"
vendor,"[4.581625271, 'VBZ']"
drugstor,"[4.581625271, 'VBZ']"
sens,"[4.581625271, 'VBP']"
hustl,"[4.581625271, 'VBP']"
overblown,"[4.581625271, 'VBN']"
superconduct,"[4.581625271, 'VBG']"
repaid,"[4.581625271, 'VBD']"
compos,"[4.581625271, 'VBD']"
cheap,"[4.581625271, 'VB']"
seced,"[4.581625271, 'VB']"
catalyst,"[4.503816794, 'VBZ']"
purpos,"[4.503816794, 'VBZ']"
pot,"[4.503816794, 'VBZ']"
driver,"[4.503816794, 'VBZ']"
horsepow,"[4.503816794, 'VBP']"
pattern,"[4.503816794, 'VBP']"
starv,"[4.503816794, 'VBN']"
packag,"[4.503816794, 'VBN']"
hype,"[4.503816794, 'VBN']"
crunch,"[4.503816794, 'VBG']"
devot,"[4.503816794, 'VBG']"
polish,"[4.503816794, 'VBG']"
overachiev,"[4.503816794, 'VBG']"
outpric,"[4.503816794, 'VBG']"
stagger,"[4.503816794, 'VBG']"
unlabel,"[4.503816794, 'VBD']"
multithread,"[4.503816794, 'VBD']"
unreleas,"[4.503816794, 'VBD']"
gobbl,"[4.503816794, 'VBD']"
spice,"[4.503816794, 'VBD']"
grasp,"[4.503816794, 'VBD']"
kickstart,"[4.503816794, 'VB']"
preorder,"[4.503816794, 'VB']"
ev,"[4.503816794, 'VB']"
overinfl,"[4.503816794, 'VB']"
pooh,"[4.503816794, 'VB']"
leapfrog,"[4.503816794, 'VB']"
cater,"[4.503816794, 'VB']"
boot,"[4.503816794, 'VB']"
paint,"[4.501533706, 'VBD']"
yes,"[4.443951027000001, 'VB']"
cancel,"[4.4191830030000006, 'VBD']"
sidl,"[4.384667653, 'VBZ']"
vow,"[4.384667653, 'VBZ']"
charm,"[4.384667653, 'VBG']"
amaz,"[4.384667653, 'VBG']"
hassl,"[4.384667653, 'VBG']"
borrow,"[4.384667653, 'VB']"
admir,"[4.384667653, 'VB']"
factor,"[4.378029418000001, 'VBN']"
insid,"[4.354077504999999, 'VB']"
debit,"[4.31139179, 'VBZ']"
euro,"[4.31139179, 'VBZ']"
thorough,"[4.31139179, 'VBP']"
alongsid,"[4.31139179, 'VBP']"
bob,"[4.31139179, 'VBP']"
possibl,"[4.31139179, 'VBP']"
as,"[4.31139179, 'VBP']"
issuer,"[4.31139179, 'VBP']"
exposur,"[4.31139179, 'VBP']"
sail,"[4.31139179, 'VBN']"
unhedg,"[4.31139179, 'VBN']"
badg,"[4.31139179, 'VBN']"
enumer,"[4.31139179, 'VBN']"
drift,"[4.31139179, 'VBN']"
offshor,"[4.31139179, 'VBN']"
outbound,"[4.31139179, 'VBN']"
talent,"[4.31139179, 'VBN']"
predic,"[4.31139179, 'VBN']"
permit,"[4.31139179, 'VBG']"
nudg,"[4.31139179, 'VBG']"
exhilar,"[4.31139179, 'VBG']"
line,"[4.31139179, 'VBG']"
countervail,"[4.31139179, 'VBG']"
shorthand,"[4.31139179, 'VBD']"
orchestr,"[4.31139179, 'VBD']"
foster,"[4.31139179, 'VB']"
somewhat,"[4.31139179, 'VB']"
assur,"[4.31139179, 'VB']"
recap,"[4.31139179, 'VB']"
behind,"[4.31139179, 'VB']"
speech,"[4.295180548, 'VB']"
testifi,"[4.293636009, 'VBD']"
amzn,"[4.249229851, 'VBP']"
nix,"[4.242487262, 'VBZ']"
purport,"[4.242487262, 'VBZ']"
home,"[4.242487262, 'VBN']"
quak,"[4.242487262, 'VBG']"
pore,"[4.242487262, 'VBD']"
duo,"[4.242487262, 'VBD']"
ho,"[4.242487262, 'VBD']"
postpon,"[4.242487262, 'VB']"
belong,"[4.242487262, 'VB']"
sandbag,"[4.208416834, 'VBG']"
silenc,"[4.208416834, 'VBG']"
harvest,"[4.208416834, 'VBG']"
redefin,"[4.208416834, 'VBD']"
shell,"[4.208416834, 'VB']"
protect,"[4.159621178, 'VB']"
cyberthiev,"[4.0394322460000005, 'VBZ']"
unearth,"[4.0394322460000005, 'VBN']"
persuad,"[4.0394322460000005, 'VB']"
alter,"[3.9875255759999995, 'VBG']"
anchor,"[3.982300885, 'VBN']"
ratio,"[3.9777726899999983, 'VB']"
bruce,"[3.957487255, 'VBP']"
anyway,"[3.957487255, 'VBP']"
laps,"[3.957487255, 'VBN']"
disciplin,"[3.957487255, 'VBN']"
articul,"[3.957487255, 'VBN']"
hone,"[3.957487255, 'VBG']"
reason,"[3.957487255, 'VBG']"
proctor,"[3.957487255, 'VBG']"
muffl,"[3.957487255, 'VBD']"
physician,"[3.957487255, 'VB']"
mistak,"[3.957487255, 'VB']"
convey,"[3.957487255, 'VB']"
tavr,"[3.957487255, 'VB']"
cardioband,"[3.957487255, 'VB']"
educ,"[3.945943303, 'VBG']"
sacrif,"[3.9423051190000002, 'VBD']"
collabor,"[3.85037288, 'VBP']"
googl,"[3.8351030460000004, 'VB']"
discontinu,"[3.8003458109999997, 'VBN']"
rang,"[3.7540580120000033, 'VBG']"
welcom,"[3.747662084999999, 'VB']"
smartphon,"[3.7157767699999997, 'VBD']"
miniscul,"[3.710849861, 'VBN']"
coil,"[3.710849861, 'VBG']"
steepen,"[3.710849861, 'VBG']"
empow,"[3.710849861, 'VBG']"
boycot,"[3.710849861, 'VBG']"
dot,"[3.710849861, 'VBD']"
intermedi,"[3.710849861, 'VB']"
fresh,"[3.710849861, 'VB']"
trust,"[3.685216425999999, 'VB']"
restructur,"[3.672806492, 'VBN']"
mute,"[3.658404985, 'VBN']"
exert,"[3.611337061, 'VBD']"
self,"[3.605935562999999, 'VB']"
corrobor,"[3.588607269, 'VBN']"
alert,"[3.5444775450000003, 'VBZ']"
suit,"[3.503654079, 'VB']"
hurt,"[3.471705021000009, 'VB']"
authoris,"[3.457354972, 'VBN']"
refurbish,"[3.457354972, 'VBN']"
stylus,"[3.457354972, 'VBD']"
stamp,"[3.457354972, 'VBD']"
rebrand,"[3.457354972, 'VB']"
unsurpris,"[3.457354972, 'VB']"
signifi,"[3.457354972, 'VB']"
length,"[3.457354972, 'VB']"
reliev,"[3.4381581909999994, 'VB']"
reconfigur,"[3.409114119, 'VB']"
scrambl,"[3.3774718030000006, 'VBD']"
gov,"[3.3021838400000014, 'VBP']"
well,"[3.2526669530000003, 'VB']"
interfer,"[3.1774907169999995, 'VB']"
everywher,"[3.139717425, 'VBZ']"
demo,"[3.139717425, 'VBZ']"
quick,"[3.139717425, 'VBP']"
alik,"[3.139717425, 'VBP']"
silo,"[3.139717425, 'VBN']"
enlist,"[3.139717425, 'VBG']"
surf,"[3.139717425, 'VBG']"
cling,"[3.139717425, 'VBG']"
bustl,"[3.139717425, 'VBG']"
shun,"[3.139717425, 'VB']"
keyboard,"[3.139717425, 'VB']"
in,"[3.102947281, 'VBZ']"
further,"[3.102947281, 'VBZ']"
fun,"[3.102947281, 'VBZ']"
deliveri,"[3.102947281, 'VBZ']"
amazon,"[3.102947281, 'VBP']"
etho,"[3.102947281, 'VBP']"
ripe,"[3.102947281, 'VBP']"
pinch,"[3.102947281, 'VBN']"
flown,"[3.102947281, 'VBN']"
falter,"[3.102947281, 'VBN']"
scare,"[3.102947281, 'VBN']"
eke,"[3.102947281, 'VBG']"
bag,"[3.102947281, 'VBG']"
dabbl,"[3.102947281, 'VBG']"
procur,"[3.102947281, 'VBG']"
hawk,"[3.102947281, 'VBG']"
bulk,"[3.102947281, 'VBG']"
whistl,"[3.102947281, 'VBG']"
gripe,"[3.102947281, 'VBD']"
jolt,"[3.102947281, 'VBD']"
panick,"[3.102947281, 'VBD']"
woke,"[3.102947281, 'VBD']"
pound,"[3.102947281, 'VBD']"
thaw,"[3.102947281, 'VB']"
shoe,"[3.102947281, 'VB']"
rippl,"[3.102947281, 'VB']"
excel,"[3.102947281, 'VB']"
brutal,"[3.102947281, 'VB']"
placat,"[3.102947281, 'VB']"
brick,"[3.102947281, 'VB']"
npr,"[3.102947281, 'VB']"
mortar,"[3.102947281, 'VB']"
reform,"[3.102947281, 'VB']"
leg,"[3.0994195519999996, 'VBP']"
redistribut,"[3.0994195519999996, 'VBG']"
crowd,"[3.0709888, 'VBN']"
fizzl,"[3.0709888, 'VB']"
replay,"[3.0630715100000003, 'VBN']"
equiti,"[3.048780488, 'VBZ']"
amus,"[3.048780488, 'VBN']"
quiet,"[3.048780488, 'VBN']"
unnam,"[3.048780488, 'VBD']"
upend,"[3.048780488, 'VB']"
wire,"[3.048780488, 'VB']"
capit,"[3.016679463000001, 'VB']"
shot,"[3.007127093, 'VBN']"
compromis,"[2.927239067, 'VBN']"
interrupt,"[2.91649055, 'VBP']"
upward,"[2.91649055, 'VBP']"
unsatisfi,"[2.91649055, 'VBN']"
script,"[2.91649055, 'VBN']"
expend,"[2.91649055, 'VBN']"
stuf,"[2.91649055, 'VBN']"
chide,"[2.91649055, 'VBD']"
number,"[2.91649055, 'VBD']"
reemphas,"[2.91649055, 'VB']"
bullish,"[2.91649055, 'VB']"
concentr,"[2.91649055, 'VB']"
inspir,"[2.827449501, 'VB']"
rout,"[2.822268860000001, 'VBG']"
hack,"[2.8111454370000004, 'VBG']"
preview,"[2.8049414709999994, 'VBP']"
peski,"[2.768287106, 'VBZ']"
unsur,"[2.768287106, 'VBP']"
water,"[2.768287106, 'VBG']"
export,"[2.768287106, 'VBG']"
showroom,"[2.768287106, 'VBD']"
local,"[2.768287106, 'VB']"
wealthi,"[2.768287106, 'VB']"
tim,"[2.768287106, 'VB']"
understood,"[2.765389162, 'VBN']"
entertain,"[2.6663977860000005, 'VBG']"
doubt,"[2.6538342349999997, 'VBN']"
migrat,"[2.6198493230000013, 'VBG']"
dive,"[2.579082811, 'VBD']"
mint,"[2.555647156, 'VBN']"
possess,"[2.555647156, 'VBG']"
offspr,"[2.555647156, 'VBG']"
forg,"[2.555647156, 'VBD']"
ix,"[2.506098913, 'VBZ']"
stockhold,"[2.506098913, 'VBZ']"
iii,"[2.506098913, 'VBZ']"
iv,"[2.506098913, 'VBP']"
ii,"[2.506098913, 'VBP']"
general,"[2.506098913, 'VBP']"
vii,"[2.506098913, 'VBP']"
thereund,"[2.506098913, 'VBP']"
terrorist,"[2.506098913, 'VBP']"
unpunish,"[2.506098913, 'VBN']"
accredit,"[2.506098913, 'VBN']"
institut,"[2.506098913, 'VBN']"
loosen,"[2.506098913, 'VBG']"
infight,"[2.506098913, 'VBG']"
provis,"[2.506098913, 'VBG']"
zag,"[2.506098913, 'VBG']"
forego,"[2.506098913, 'VBG']"
zig,"[2.506098913, 'VBG']"
divert,"[2.506098913, 'VBG']"
encrypt,"[2.506098913, 'VBD']"
stole,"[2.506098913, 'VBD']"
beleagu,"[2.506098913, 'VBD']"
rich,"[2.506098913, 'VB']"
refrain,"[2.506098913, 'VB']"
dispos,"[2.506098913, 'VB']"
inconveni,"[2.506098913, 'VB']"
consumm,"[2.506098913, 'VB']"
verizon,"[2.506098913, 'VB']"
ventur,"[2.445089101, 'VBZ']"
eye,"[2.445089101, 'VBG']"
eweek,"[2.445089101, 'VBG']"
insur,"[2.445089101, 'VB']"
intensifi,"[2.3491950160000012, 'VBG']"
leagu,"[2.344042537, 'VBZ']"
fb,"[2.344042537, 'VBP']"
angl,"[2.344042537, 'VBG']"
air,"[2.344042537, 'VBG']"
wherebi,"[2.344042537, 'VBD']"
antagon,"[2.344042537, 'VB']"
tabl,"[2.344042537, 'VB']"
frame,"[2.265256879, 'VB']"
artist,"[2.265122265, 'VBZ']"
spotifi,"[2.265122265, 'VB']"
requir,"[2.2437583859999926, 'VB']"
converg,"[2.206114088, 'VBD']"
funnel,"[2.196790632, 'VBP']"
logo,"[2.121243631, 'VBZ']"
languag,"[2.121243631, 'VBZ']"
defect,"[2.121243631, 'VBZ']"
bracket,"[2.121243631, 'VBN']"
criticis,"[2.121243631, 'VBN']"
sourc,"[2.121243631, 'VBG']"
scanner,"[2.121243631, 'VBD']"
recycl,"[2.121243631, 'VB']"
verifi,"[2.121243631, 'VB']"
maneuv,"[2.121243631, 'VB']"
redeem,"[2.121243631, 'VB']"
bixbi,"[2.121243631, 'VB']"
unbox,"[2.121243631, 'VB']"
wast,"[2.1112495709999997, 'VBG']"
spur,"[2.0885417840000002, 'VB']"
preserv,"[2.0715120920000003, 'VBG']"
implant,"[2.059854295000001, 'VBG']"
drove,"[1.9903821749999953, 'VBD']"
platform,"[1.9714005120000007, 'VBZ']"
root,"[1.944247647000001, 'VB']"
engin,"[1.936555220999999, 'VB']"
rethink,"[1.910849188, 'VB']"
purs,"[1.905187314, 'VBZ']"
resembl,"[1.905187314, 'VBZ']"
agita,"[1.905187314, 'VBP']"
overpr,"[1.905187314, 'VBN']"
hum,"[1.905187314, 'VBG']"
taught,"[1.905187314, 'VBD']"
traffick,"[1.905187314, 'VBD']"
msft,"[1.905187314, 'VBD']"
commerci,"[1.905187314, 'VB']"
abund,"[1.905187314, 'VB']"
danc,"[1.905187314, 'VB']"
ruin,"[1.905187314, 'VB']"
idl,"[1.905187314, 'VB']"
intc,"[1.905187314, 'VB']"
tech,"[1.8829680720000002, 'VB']"
interconnect,"[1.873619719, 'VBN']"
rescind,"[1.873619719, 'VBN']"
allevi,"[1.873619719, 'VB']"
tour,"[1.873619719, 'VB']"
pad,"[1.873619719, 'VB']"
mayb,"[1.8357188349999998, 'VB']"
heighten,"[1.7368674619999998, 'VB']"
gon,"[1.7018844269999995, 'VBG']"
strip,"[1.7015979829999988, 'VBD']"
optim,"[1.694900230999997, 'VBN']"
wound,"[1.690954083, 'VBD']"
reorgan,"[1.690954083, 'VBD']"
commerc,"[1.687849517, 'VBP']"
reset,"[1.687849517, 'VBG']"
reced,"[1.687849517, 'VBD']"
quad,"[1.687849517, 'VBD']"
retest,"[1.687849517, 'VBD']"
chart,"[1.6616932299999996, 'VBP']"
bypass,"[1.5761890129999998, 'VB']"
cement,"[1.553547005, 'VB']"
lawsuit,"[1.55, 'VBD']"
code,"[1.55, 'VB']"
emir,"[1.5354944, 'VBZ']"
powerhous,"[1.5354944, 'VBP']"
configur,"[1.5354944, 'VBN']"
conjur,"[1.5354944, 'VBN']"
accru,"[1.5354944, 'VBN']"
renown,"[1.5354944, 'VBN']"
invigor,"[1.5354944, 'VBG']"
supercharg,"[1.5354944, 'VBG']"
inaugur,"[1.5354944, 'VBD']"
imprint,"[1.5354944, 'VB']"
offload,"[1.533333333, 'VBZ']"
jeopard,"[1.533333333, 'VBN']"
scuttl,"[1.533333333, 'VBN']"
midmorn,"[1.533333333, 'VBG']"
age,"[1.533333333, 'VBG']"
unwav,"[1.533333333, 'VBG']"
hash,"[1.533333333, 'VBD']"
entail,"[1.533333333, 'VB']"
chosen,"[1.5128266809999995, 'VBN']"
mix,"[1.509869359, 'VBN']"
assert,"[1.4854831609999977, 'VBD']"
pepper,"[1.455934125, 'VBD']"
recruit,"[1.3140008200000002, 'VB']"
bubbl,"[1.278671357, 'VB']"
underweight,"[1.255522596, 'VB']"
multipl,"[1.2288791640000012, 'VB']"
kill,"[1.2073599809999997, 'VBN']"
leas,"[1.153745997, 'VBZ']"
expens,"[1.1520902719999988, 'VBN']"
tail,"[1.1228876650000004, 'VB']"
ware,"[1.103057044, 'VBZ']"
premis,"[1.103057044, 'VBZ']"
instil,"[1.103057044, 'VBP']"
proper,"[1.103057044, 'VBP']"
disaggreg,"[1.103057044, 'VBN']"
duplic,"[1.103057044, 'VBN']"
anger,"[1.103057044, 'VBD']"
exec,"[1.103057044, 'VBD']"
unifi,"[1.103057044, 'VBD']"
preload,"[1.103057044, 'VBD']"
hybrid,"[1.103057044, 'VB']"
modernis,"[1.103057044, 'VB']"
furnish,"[1.103057044, 'VB']"
societi,"[1.103057044, 'VB']"
wander,"[1.103057044, 'VB']"
termin,"[1.103057044, 'VB']"
shuttl,"[1.103057044, 'VB']"
gaug,"[1.054375749, 'VB']"
pioneer,"[1.04885318, 'VBD']"
co,"[1.014015995, 'VB']"
secur,"[0.9886424059999981, 'VBG']"
reliant,"[0.9514960950000004, 'VB']"
leav,"[0.8679928000000015, 'VBZ']"
assign,"[0.8676633420000002, 'VBD']"
size,"[0.8589929320000005, 'VBN']"
erod,"[0.7829373850000003, 'VBN']"
outperform,"[0.7648966630000023, 'VBN']"
confus,"[0.7286999349999999, 'VBD']"
anyth,"[0.724729816, 'VBG']"
quantifi,"[0.7220756760000002, 'VB']"
enact,"[0.718751095, 'VB']"
persist,"[0.654533341, 'VB']"
built,"[0.6465558299999952, 'VBN']"
blow,"[0.6049210250000026, 'VBZ']"
pend,"[0.5986145910000014, 'VBG']"
liabil,"[0.5760451359999994, 'VBZ']"
deduct,"[0.5760451359999994, 'VBG']"
sapien,"[0.5760451359999994, 'VB']"
android,"[0.5760451359999994, 'VB']"
conting,"[0.5760451359999994, 'VB']"
consum,"[0.553522303000002, 'VBG']"
mar,"[0.5434108929999999, 'VBN']"
afford,"[0.383195155000001, 'VBD']"
squabbl,"[0.3014248500000001, 'VBG']"
balk,"[0.3014248500000001, 'VBG']"
qualifi,"[0.27724322999999984, 'VBD']"
lay,"[0.1972484440000004, 'VBG']"
motiv,"[0.17702486499999992, 'VBN']"
provok,"[0.17702486499999992, 'VBG']"
pass,"[0.1768666219999977, 'VBD']"
pivot,"[0.16435592300000001, 'VBZ']"
tool,"[0.12550354900000027, 'VBG']"
wane,"[0.1229543719999997, 'VBG']"
undermin,"[0.07404990900000019, 'VB']"
communic,"[0.02714037700000027, 'VBP']"
stage,"[0.008764786999999608, 'VBN']"
dodg,"[-0.03323532500000015, 'VB']"
challeng,"[-0.1531251640000013, 'VBZ']"
cluster,"[-0.2000066330000001, 'VBG']"
contract,"[-0.2991218300000007, 'VBD']"
doe,"[-0.3219742530000005, 'VBZ']"
pan,"[-0.3344828859999991, 'VBP']"
affili,"[-0.40325752500000034, 'VBZ']"
zero,"[-0.4326127909999995, 'VBN']"
becam,"[-0.4835555010000032, 'VBD']"
priorit,"[-0.5335679030000002, 'VBG']"
eschew,"[-0.6619604429999999, 'VBD']"
inject,"[-0.8226482240000008, 'VBD']"
extract,"[-0.8601022039999995, 'VB']"
torn,"[-1.0046329129999996, 'VB']"
light,"[-1.0907226980000004, 'VBD']"
restart,"[-1.1894369119999997, 'VB']"
superimpos,"[-1.192098093, 'VBZ']"
bar,"[-1.192098093, 'VBZ']"
akin,"[-1.192098093, 'VBP']"
enforc,"[-1.192098093, 'VBP']"
cosponsor,"[-1.192098093, 'VBN']"
intrud,"[-1.192098093, 'VBN']"
stilt,"[-1.192098093, 'VBN']"
silent,"[-1.192098093, 'VBN']"
proclaim,"[-1.192098093, 'VBN']"
backtrack,"[-1.192098093, 'VBN']"
redress,"[-1.192098093, 'VBN']"
whir,"[-1.192098093, 'VBG']"
interf,"[-1.192098093, 'VBG']"
pretend,"[-1.192098093, 'VBG']"
eman,"[-1.192098093, 'VBG']"
defeat,"[-1.192098093, 'VBG']"
skewer,"[-1.192098093, 'VBD']"
trick,"[-1.192098093, 'VBD']"
prolifer,"[-1.192098093, 'VBD']"
cnet,"[-1.192098093, 'VB']"
roost,"[-1.192098093, 'VB']"
tilt,"[-1.192098093, 'VB']"
disapprov,"[-1.192098093, 'VB']"
sunni,"[-1.192098093, 'VB']"
devis,"[-1.192098093, 'VB']"
derisk,"[-1.2308926849999997, 'VB']"
person,"[-1.2588088109999997, 'VBN']"
shoot,"[-1.266437967, 'VBG']"
attend,"[-1.266437967, 'VBG']"
peak,"[-1.2668313199999988, 'VBG']"
warn,"[-1.2702049810000027, 'VBG']"
tip,"[-1.2708502719999997, 'VBZ']"
deserv,"[-1.281139142, 'VBD']"
royalti,"[-1.291578202, 'VBZ']"
overpaid,"[-1.291578202, 'VBD']"
prepay,"[-1.291578202, 'VB']"
recast,"[-1.291578202, 'VB']"
equip,"[-1.3275938479999998, 'VBN']"
overcom,"[-1.353743784, 'VB']"
troubl,"[-1.3660798190000003, 'VBN']"
stumbl,"[-1.3664358839999995, 'VBD']"
dampen,"[-1.3677796879999997, 'VBN']"
touch,"[-1.392709, 'VBG']"
laid,"[-1.4241976899999997, 'VBD']"
roe,"[-1.426426426, 'VB']"
oversold,"[-1.426426426, 'VB']"
custom,"[-1.4437644130000002, 'VBG']"
knew,"[-1.485990654000001, 'VBD']"
clobber,"[-1.486896469, 'VBN']"
stolen,"[-1.5461175129999987, 'VBN']"
field,"[-1.5765742190000003, 'VBN']"
smooth,"[-1.6360502310000002, 'VBG']"
repost,"[-1.638253158, 'VBN']"
activ,"[-1.643664093, 'VB']"
compel,"[-1.6442156970000004, 'VBG']"
t,"[-1.656190807999999, 'VBP']"
network,"[-1.7166827750000095, 'VBG']"
twin,"[-1.758122253, 'VBZ']"
solar,"[-1.758122253, 'VBP']"
math,"[-1.758122253, 'VBP']"
rescu,"[-1.758122253, 'VBG']"
chronicl,"[-1.758122253, 'VBD']"
mesh,"[-1.758122253, 'VB']"
recus,"[-1.758122253, 'VB']"
storag,"[-1.758122253, 'VB']"
door,"[-1.758122253, 'VB']"
homeown,"[-1.758122253, 'VB']"
rooftop,"[-1.758122253, 'VB']"
telesal,"[-1.758122253, 'VB']"
outfit,"[-1.758122253, 'VB']"
transfer,"[-1.758122253, 'VB']"
enlarg,"[-1.813253836, 'VB']"
dog,"[-1.8376543879999998, 'VBN']"
len,"[-1.881918819, 'VBZ']"
baseband,"[-1.881918819, 'VBP']"
fought,"[-1.881918819, 'VBN']"
harm,"[-1.881918819, 'VBG']"
underwhelm,"[-1.881918819, 'VBG']"
wage,"[-1.881918819, 'VBG']"
escap,"[-1.881918819, 'VB']"
interven,"[-1.881918819, 'VB']"
modern,"[-1.9282528370000003, 'VB']"
infrastructur,"[-1.9396899879999996, 'VBZ']"
revolution,"[-2.0043633169999993, 'VBD']"
shine,"[-2.077058207, 'VBG']"
fold,"[-2.2182475619999997, 'VBN']"
method,"[-2.229179611, 'VB']"
arrang,"[-2.237183269999999, 'VB']"
pitch,"[-2.2544295329999997, 'VBG']"
insinu,"[-2.2594470840000005, 'VBD']"
last,"[-2.2763347760000006, 'VBN']"
readi,"[-2.3510319709999994, 'VBP']"
deadlock,"[-2.384196186, 'VBD']"
deceiv,"[-2.384196186, 'VB']"
clear,"[-2.4126867450000025, 'VBD']"
channel,"[-2.4756729550000003, 'VB']"
flatten,"[-2.55824899, 'VBN']"
overinvest,"[-2.564102564, 'VBP']"
unturn,"[-2.564102564, 'VBD']"
structur,"[-2.583156404, 'VBN']"
overpay,"[-2.583156404, 'VBG']"
melt,"[-2.5983620399999996, 'VBG']"
plow,"[-2.6231287109999997, 'VB']"
stress,"[-2.643718323, 'VBD']"
renegoti,"[-2.649628696, 'VBG']"
ensur,"[-2.656905642000008, 'VB']"
fret,"[-2.7464777249999983, 'VBD']"
anticip,"[-2.767461822000003, 'VBN']"
holdout,"[-2.801522431, 'VBZ']"
popul,"[-2.801522431, 'VBP']"
soak,"[-2.801522431, 'VBP']"
divvi,"[-2.801522431, 'VBN']"
academ,"[-2.801522431, 'VBN']"
skateboard,"[-2.801522431, 'VBG']"
but,"[-2.801522431, 'VBG']"
tronc,"[-2.801522431, 'VBD']"
recod,"[-2.801522431, 'VBD']"
sidestep,"[-2.801522431, 'VB']"
satiris,"[-2.801932367, 'VBZ']"
hominem,"[-2.801932367, 'VBZ']"
racist,"[-2.801932367, 'VBP']"
teach,"[-2.801932367, 'VBP']"
pirat,"[-2.801932367, 'VBP']"
cue,"[-2.801932367, 'VBP']"
thumb,"[-2.801932367, 'VBP']"
privileg,"[-2.801932367, 'VBN']"
drench,"[-2.801932367, 'VBN']"
brainwash,"[-2.801932367, 'VBN']"
offend,"[-2.801932367, 'VBN']"
thrown,"[-2.801932367, 'VBN']"
mainstream,"[-2.801932367, 'VBN']"
belov,"[-2.801932367, 'VBN']"
shriek,"[-2.801932367, 'VBG']"
bait,"[-2.801932367, 'VBG']"
waltz,"[-2.801932367, 'VBG']"
troll,"[-2.801932367, 'VBG']"
debunk,"[-2.801932367, 'VBG']"
patron,"[-2.801932367, 'VBG']"
loser,"[-2.801932367, 'VBD']"
wake,"[-2.801932367, 'VB']"
stori,"[-2.801932367, 'VB']"
denounc,"[-2.801932367, 'VB']"
voic,"[-2.810150846, 'VB']"
adult,"[-2.842123564, 'VBZ']"
overload,"[-2.842123564, 'VB']"
adapt,"[-2.903274088, 'VB']"
shift,"[-2.9313927310000025, 'VBN']"
shorten,"[-2.9359879589999998, 'VBG']"
rebound,"[-2.951344938, 'VBD']"
lump,"[-3.011013803, 'VBP']"
found,"[-3.1519892729999874, 'VBD']"
remedi,"[-3.155465878, 'VBZ']"
dealt,"[-3.155465878, 'VBZ']"
breakdown,"[-3.155465878, 'VBP']"
blown,"[-3.155465878, 'VBN']"
singl,"[-3.155465878, 'VBN']"
cook,"[-3.155465878, 'VBG']"
goog,"[-3.155465878, 'VBD']"
content,"[-3.155465878, 'VB']"
unbundl,"[-3.155465878, 'VB']"
ra,"[-3.171544631, 'VBZ']"
oh,"[-3.171544631, 'VBZ']"
centr,"[-3.171544631, 'VBZ']"
deliber,"[-3.171544631, 'VBZ']"
indict,"[-3.171544631, 'VBN']"
veil,"[-3.171544631, 'VBN']"
sharehold,"[-3.171544631, 'VBG']"
